gid,title,authors[0],average_rating,description,num_pages,publication_date
208,"A Shadow in Summer (Long Price Quartet, #1)",Daniel Abraham,3.61,"The city-state of Saraykeht dominates the Summer Cities. Its wealth is beyond measure; its port is open to all the merchants of the world, and its ruler, the Khai Saraykeht, commands forces to rival the Gods. Commerce and trade fill the streets with a hundred languages, and the coffers of the wealthy with jewels and gold. Any desire, however exotic or base, can be satisfied in its soft quarter. Blissfully ignorant of the forces that fuel their prosperity, the people live and work secure in the knowledge that their city is a bastion of progress in a harsh world. It would be a tragedy if it fell.<br /><br />Saraykeht is poised on the knife-edge of disaster.<br /><br />At the heart of the city's influence are the poet-sorcerer Heshai and the captive spirit, Seedless, whom he controls. For all his power, Heshai is weak, haunted by memories of shame and humiliation. A man faced with constant reminders of his responsibilities and his failures, he is the linchpin and the most vulnerable point in Saraykeht's greatness.<br /><br />Far to the west, the armies of Galt have conquered many lands. To take Saraykeht, they must first destroy the trade upon which its prosperity is based. Marchat Wilsin, head of Galt's trading house in the city, is planning a terrible crime against Heshai and Seedless. If he succeeds, Saraykeht will fall.<br /><br />Amat, House Wilsin's business manager, is a woman who rose from the slums to wield the power that Marchat Wilsin would use to destroy her city. Through accidents of fate and circumstance Amat, her apprentice Liat, and two young men from the farthest reaches of their society stand alone against the dangers that threaten the city.",331,"('3', '7', '2006')"
210,"Long Shadows: Truth, Lies and History",Erna Paris,4.21,"Winner of the Pearson Writers' Trust Non-Fiction Prize, the inaugural Shaughnessy Cohen Prize for political writing, and the Dorothy Shoichet Prize for History from the Canadian Jewish Book Awards.<br /><br /><br /><br />One of the most urgent issues facing the world today is how countries shape historical memory in the aftermath of calamity, making decisions that cast long shadows into the future. Combining gripping storytelling with sharp observation, Erna Paris takes us on an extraordinary journey through four continents to explore how nations reinvent themselves after cataclysmic events. She travels through the United States, with its long-buried memory of slavery; to South Africa, where the Truth and Reconciliation Commission struggles to heal the wounds left by apartheid; to Japan, France, and Germany, where the unresolved pain of Hiroshima and the Holocaust still resonate; and to the former Yugoslavia, where she exposes the cynical shaping of historical memory. Through its insightful analysis, <i>Long Shadows</i> compels us to question where we stand as individuals in relation to our own collective histories.",496,"('5', '3', '2002')"
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford,3.88,"Miami homicide detective Hoke Moseley is called to a posh Miami neighborhood to investigate a lethal overdose. There he meets the alluring stepmother of the decedant, and begins to wonder about dating a witness. Meanwile, he has been threatened with suspension by his ambitious new chief unless he leaves his beloved, if squalid, suite at the El Dorado Hotel, and moves downtown. With free housing hard to come by, Hoke is desperate to find a new place to live. His difficulties are only amplified by an assignment to re-investigate fifty unsolved murders, the unexpected arrival of his two teenage daughters, and a partner struggling with an unwanted pregnancy. With few options and even fewer dollars, he decides that the suspicious and beautiful stepmother of the dead junkie might be a compromised solution to all of his problems.<br /><br />Packed with atmosphere and humor, <i>New Hope for the Dead </i>is a classic murder mystery by one of the true masters of the genre. Now back in print, Charles Willeford’s tour de force is an irresistible invitation to become acquainted with one of the greatest detective characters of all time.",244,"('8', '10', '2004')"
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford,4.03,"Hoke Moseley has had enough. Tired of struggling against alimony payments, two teenage daughters, a very pregnant, very single partner, and a low paying job as a Miami homicide detective, Hoke moves to Singer Island and vows never step foot on the mainland again. But on the street, career criminal Troy Louden is hatching plans of his own with a gang including a disfigured hooker, a talentless artist, and a clueless retiree. But when his simple robbery results in ruthless and indiscriminate bloodshed, Hoke quickly remembers why he is a cop and hurls himself back into the world he meant to leave behind forever.<br /><br />A masterly tale of both mid-life crisis and murder, <b>Sideswipe</b> is a page-turning thriller packed with laughs, loaded with suspense, and featuring one of the truly original detectives of all time.",215,"('3', '8', '2005')"
215,The Way We Die Now,Charles Willeford,4.05,"When Miami Homicide Detective Hoke Moseley receives an unexplained order to let his beard grow, he doesn't think much about it. He has too much going on at home, especially with a man he helped convict ten years before moving in across the street. Hoke immediately assumes the worst, and considering he has his former partner, who happens to be nursing a newborn, and his two teenage daughters living with him, he doesn't like the situation on bit. It doesn't help matters when he is suddenly assigned to work undercover, miles away, outside of his jurisdiction and without his badge, his gun, or his teeth. Soon, he is impersonating a drifter and tring to infiltrate a farm operation suspected of murdering migrant workers. But when he gets there for his job interview, the last thing he is offered is work.<br /><br />In this final installment of the highly acclaimed Hoke Moseley novels, Charles Willeford's brilliance and expertise show on every page. Equally funny, thrilling, and disturbing, The Way We Die Now is a triumphant finish to one of the most original detective series of all time.",256,"('8', '16', '2005')"
216,Miami Blues (Hoke Moseley #1),Charles Willeford,3.93,"After a brutal day investigating a quadruple homicide, Detective Hoke Moseley settles into his room at the un-illustrious El Dorado Hotel and nurses a glass of brandy. With his guard down, he doesn’t think twice when he hears a knock on the door. The next day, he finds himself in the hospital, badly bruised and with his jaw wired shut. He thinks back over ten years of cases wondering who would want to beat him into unconsciousness, steal his gun and badge, and most importantly, make off with his prized dentures. But the pieces never quite add up to revenge, and the few clues he has keep connecting to a dimwitted hooker, and her ex-con boyfriend and the bizarre murder of a Hare Krishna pimp.<br /><br />Chronically depressed, constantly strapped for money, always willing to bend the rules a bit, Hoke Moseley is hardly what you think of as the perfect cop, but he is one of the the greatest detective creations of all time.",191,"('8', '10', '2004')"
217,Charles Willeford Omnibus: Pick Up/Burnt Orange Heresy/Cockfighter,Charles Willeford,4.36,A collection of three Charles Willeford thrillers. Cockfighter is set in the seamy underbelly of southern rural life in the USA; The Burnt Orange Heresy features an evil and complicated art-dealer; and Pick-Up tells the story of an alcoholic woman's attempts to avoid destroying herself.,602,"(None, None, None)"
218,The Woman Chaser,Charles Willeford,3.93,"Richard Hudson, woman chaser and used car salesman, has a pimp's awareness of the ways women (and men) are most vulnerable. One day Richard decides to make an ambitious film, which turns into a fiasco. Enraged, he exacts revenge on all who have crossed him.",192,"('4', '1', '1960')"
219,The Machine in Ward Eleven,Charles Willeford,3.64,"This reissue of Willeford's 1963 pulp classic is a timely reminder that madness is truly the dark heart of politics. Written at a time when people still had faith in their elected leaders, Willeford's book laid bare the American dream. There is an almost Chekhovian wistfulness in the treatment of his stories, which belies their considerable impact. ""The most eloquently brainy and exacting pulp fiction ever fabricated!"" -- Village Voice<br /><br />Contains the stories:<br />1. The Machine in Ward Eleven<br />2. Selected Incidents<br />3. A Letter to A.A. (Almost Anybody)<br />4. Jake's Journal<br />5. ""Just Like on Television--""<br />6. The Alectrymancer",160,"('8', '27', '2001')"
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford,3.88,"Miami homicide detective Hoke Moseley is called to a posh Miami neighborhood to investigate a lethal overdose. There he meets the alluring stepmother of the decedant, and begins to wonder about dating a witness. Meanwile, he has been threatened with suspension by his ambitious new chief unless he leaves his beloved, if squalid, suite at the El Dorado Hotel, and moves downtown. With free housing hard to come by, Hoke is desperate to find a new place to live. His difficulties are only amplified by an assignment to re-investigate fifty unsolved murders, the unexpected arrival of his two teenage daughters, and a partner struggling with an unwanted pregnancy. With few options and even fewer dollars, he decides that the suspicious and beautiful stepmother of the dead junkie might be a compromised solution to all of his problems.<br /><br />Packed with atmosphere and humor, <i>New Hope for the Dead </i>is a classic murder mystery by one of the true masters of the genre. Now back in print, Charles Willeford’s tour de force is an irresistible invitation to become acquainted with one of the greatest detective characters of all time.",244,"('8', '10', '2004')"
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford,4.03,"Hoke Moseley has had enough. Tired of struggling against alimony payments, two teenage daughters, a very pregnant, very single partner, and a low paying job as a Miami homicide detective, Hoke moves to Singer Island and vows never step foot on the mainland again. But on the street, career criminal Troy Louden is hatching plans of his own with a gang including a disfigured hooker, a talentless artist, and a clueless retiree. But when his simple robbery results in ruthless and indiscriminate bloodshed, Hoke quickly remembers why he is a cop and hurls himself back into the world he meant to leave behind forever.<br /><br />A masterly tale of both mid-life crisis and murder, <b>Sideswipe</b> is a page-turning thriller packed with laughs, loaded with suspense, and featuring one of the truly original detectives of all time.",215,"('3', '8', '2005')"
215,The Way We Die Now,Charles Willeford,4.05,"When Miami Homicide Detective Hoke Moseley receives an unexplained order to let his beard grow, he doesn't think much about it. He has too much going on at home, especially with a man he helped convict ten years before moving in across the street. Hoke immediately assumes the worst, and considering he has his former partner, who happens to be nursing a newborn, and his two teenage daughters living with him, he doesn't like the situation on bit. It doesn't help matters when he is suddenly assigned to work undercover, miles away, outside of his jurisdiction and without his badge, his gun, or his teeth. Soon, he is impersonating a drifter and tring to infiltrate a farm operation suspected of murdering migrant workers. But when he gets there for his job interview, the last thing he is offered is work.<br /><br />In this final installment of the highly acclaimed Hoke Moseley novels, Charles Willeford's brilliance and expertise show on every page. Equally funny, thrilling, and disturbing, The Way We Die Now is a triumphant finish to one of the most original detective series of all time.",256,"('8', '16', '2005')"
216,Miami Blues (Hoke Moseley #1),Charles Willeford,3.93,"After a brutal day investigating a quadruple homicide, Detective Hoke Moseley settles into his room at the un-illustrious El Dorado Hotel and nurses a glass of brandy. With his guard down, he doesn’t think twice when he hears a knock on the door. The next day, he finds himself in the hospital, badly bruised and with his jaw wired shut. He thinks back over ten years of cases wondering who would want to beat him into unconsciousness, steal his gun and badge, and most importantly, make off with his prized dentures. But the pieces never quite add up to revenge, and the few clues he has keep connecting to a dimwitted hooker, and her ex-con boyfriend and the bizarre murder of a Hare Krishna pimp.<br /><br />Chronically depressed, constantly strapped for money, always willing to bend the rules a bit, Hoke Moseley is hardly what you think of as the perfect cop, but he is one of the the greatest detective creations of all time.",191,"('8', '10', '2004')"
217,Charles Willeford Omnibus: Pick Up/Burnt Orange Heresy/Cockfighter,Charles Willeford,4.36,A collection of three Charles Willeford thrillers. Cockfighter is set in the seamy underbelly of southern rural life in the USA; The Burnt Orange Heresy features an evil and complicated art-dealer; and Pick-Up tells the story of an alcoholic woman's attempts to avoid destroying herself.,602,"(None, None, None)"
218,The Woman Chaser,Charles Willeford,3.93,"Richard Hudson, woman chaser and used car salesman, has a pimp's awareness of the ways women (and men) are most vulnerable. One day Richard decides to make an ambitious film, which turns into a fiasco. Enraged, he exacts revenge on all who have crossed him.",192,"('4', '1', '1960')"
219,The Machine in Ward Eleven,Charles Willeford,3.64,"This reissue of Willeford's 1963 pulp classic is a timely reminder that madness is truly the dark heart of politics. Written at a time when people still had faith in their elected leaders, Willeford's book laid bare the American dream. There is an almost Chekhovian wistfulness in the treatment of his stories, which belies their considerable impact. ""The most eloquently brainy and exacting pulp fiction ever fabricated!"" -- Village Voice<br /><br />Contains the stories:<br />1. The Machine in Ward Eleven<br />2. Selected Incidents<br />3. A Letter to A.A. (Almost Anybody)<br />4. Jake's Journal<br />5. ""Just Like on Television--""<br />6. The Alectrymancer",160,"('8', '27', '2001')"
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.86,"James Figueras is a brilliant art critic in search of the coup that will make him the leader in his field. Figueras has been offered a chance to meet the reclusive artist Deberieu; in return, all he has to do is steal one of the master's paintings. But from stealing, as Figueras learns, it is only a very short step to killing.",144,"('10', '3', '1990')"
231,I am Charlotte Simmons,Tom Wolfe,3.43,"Tom Wolfe, the master social novelist of our time, the spot-on chronicler of all things contemporary and cultural, presents a sensational new novel about life, love, and learning--or the lack of it--amid today's American colleges.<br /><br />Our story unfolds at fictional Dupont University: those Olympian halls of scholarship housing the cream of America's youth, the roseate Gothic spires and manicured lawns suffused with tradition . . . Or so it appears to beautiful, brilliant Charlotte Simmons, a sheltered freshman from North Carolina. But Charlotte soon learns, to her mounting dismay, that for the upper-crust coeds of Dupont, sex, cool, and kegs trump academic achievement every time.<br /><br />As Charlotte encounters the paragons of Dupont's privileged elite--her roommate, Beverly, a Groton-educated Brahmin in lusty pursuit of lacrosse players; Jojo Johanssen, the only white starting player on Dupont's godlike basketball team, whose position is threatened by a hotshot black freshman from the projects; the Young Turk of Saint Ray fraternity, Hoyt Thorpe, whose heady sense of entitlement and social domination is clinched by his accidental brawl with a bodyguard for the governor of California; and Adam Geller, one of the Millennial Mutants who run the university's ""independent"" newspaper and who consider themselves the last bastion of intellectual endeavor on the sex-crazed, jock-obsessed campus--she is seduced by the heady glamour of acceptance, betraying both her values and upbringing before she grasps the power of being different--and the exotic allure of her own innocence.<br /><br />With his trademark satirical wit and famously sharp eye for telling detail, Wolfe's I Am Charlotte Simmons draws on extensive observations at campuses across the country to immortalize the early-21st-century college-going experience.",738,"('8', '30', '2005')"
236,The Complete Nonsense of Edward Lear,Edward Lear,4.02,"The Owl and the Pussy-Cat, Calico Pie and The Pobble Who Has No Toes, together with Edward Lear's crazy limericks, have entertained adults and children alike for over 100 years.<br /><br />This edition, illustrated by the author, contains all the verse and stories of the Book of Nonsense, More Nonsense, Nonsense Songs, Nonsense Stories, Nonsense Alphabets and Nonsense Cookery. It has a biographical Preface by Lear himself, and concludes with some delightful 'heraldic' sketches of his cat, Foss.",287,"('6', '1', '1940')"
237,Poetry for Young People: Edward Lear,Edward Lear,3.96,"Utterly delightful to read aloud, and for parent and child to share, Edward Lear's humorous verses shine with irrepressible joy and rhythm. Filled with exuberantly nonsensical made-up words (like ""Scroobius Pip"" and ""pobble""!) that tickle the funny bone, his work gives free rein to youthful imaginations. What better to foster a love of poetry than the immediately appealing The Owl and the Pussy-Cat, with its effortless rhymes, songlike beat, and charming animal characters? Or The Quangle Wangle's Hat, which tells the tale of a creature who warmly welcomes everyone--and so makes everyone cheerful. In Dingle Bank, even some young and mischievous boys punished by their schoolmaster make the best of their situation and succeed in having a good time. Bright and fanciful paintings--all as wildly energetic and unrestrained as the language itself--add to the enjoyment. 20 examples of Lear's finest poems will entice children over and over again--and, as always, this acclaimed series features fascinating biographical information, introductions to each verse, and full annotations that define difficult vocabulary.<br />",48,"('10', '1', '2001')"
239,An Edward Lear Alphabet,Edward Lear,3.38,"Edward Lear's acrobatic rhymes insistently tumble from the tongue and celebrate the glorious fun of wordplay. Only Vladimir Radunsky's electric artwork could possibly capture this much energy. Within the quiet covers of this book, the artist springs loose the grandest kings, the highest of kites, a goose-stepping gander, and, even, Lear himself. The pages almost turn themselves.",32,"('4', '1', '1999')"
241,A Was Once an Apple Pie,Edward Lear,3.42,Hand painted cut paper artwork by Caldecott winner Suse MacDonald illustrates this adaptation of Edward Lear's classic ABC rhyme.,32,"('9', '1', '2005')"
242,The Owl and the Pussycat,Edward Lear,4.19,"Edward Lear's nonsense poem about two unlikely sweethearts--an elegant owl and a beautiful cat--has found a perfect match in artist Jan Brett. She traveled to the Caribbean (the land where the Bong-tree grows, perhaps?) to research her illustrations as well as the settings, costume details, plants, and fish native to the area. Readers can follow an illustrated subplot of two yellow fish who also fall in love under the pea-green boat. A charming treatment of a classic children's poem. <i>(Ages 3 to 7)</i>",32,"('5', '7', '1996')"
243,The Pobble Who Has No Toes (Edward Lear's Little Books of Nonsense),Edward Lear,4.57,,24,"('3', '27', '1986')"
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,"Ever eaten Poodle Strudel? Slain a Jabberwock? Bathed in Irish Stew? Quentin Blake is one of the best loved of children’s illustrators. In this brilliant book he has selected and illustrated his favourite comic verse, making it pure entertainment for nonsense-lovers of all ages. His unique style of drawing brings a new perspective to every poem. Classic writers such as Lewis Carroll and Edward Lear are combined with more contemporary talents such as Roger McGough, Margaret Mahy and Russell Hoban. With fifteen wonderfully absurd sections, including Distracting Creatures, Sticky Ends, I Wish I Were a Jelly Fish, A Recipe for Indigestion and Chortling and Galumphing, here is a delightful collection of the topsy-turvy, the fantastical, the anarchic, the illogical and the utterly wonderful.",287,"('10', '3', '1996')"
245,Henry Miller on Writing,Henry Miller,4.23,"Some of the most rewarding pages in Henry Miller's books concern his self-education as a writer. He tells, as few great writers ever have, how he set his goals, how he discovered the excitement of using words, how the books he read influenced him, and how he learned to draw on his own experience.",217,"('2', '1', '1964')"
246,The Colossus of Maroussi,Henry Miller,3.99,"The Colossus of Maroussi is an impressionist travelogue by Henry Miller, written in 1939 and first published in 1941 by Colt Press of San Francisco. As an impoverished writer in need of rejuvenation, Miller travelled to Greece at the invitation of his friend, the writer Lawrence Durrell. The text is inspired by the events that occurred. The text is ostensibly a portrait of the Greek writer George Katsimbalis, although some critics have opined that is more of a self-portrait of Miller himself.[1] Miller considered it to be his greatest work.",244,"('1', '17', '1975')"
247,Quiet Days in Clichy,Henry Miller,3.68,"This tender and nostalgic work dates from the same period as Tropic of Cancer (1934). It is a celebration of love, art, and the Bohemian life at a time when the world was simpler and slower, and Miller an obscure, penniless young writer in Paris. Whether discussing the early days of his long friendship with Alfred Perles or his escapades at the Club Melody brothel, in Quiet Days in Clichy Miller describes a period that would shape his entire life and oeuvre.",154,"('1', '13', '1994')"
248,Big Sur and the Oranges of Hieronymus Bosch,Henry Miller,4.02,"Whence Henry Miller's title for this, one of his most appealing books; first published in 1957, it tells the story of Miller's life on the Big Sur, a section of California coast where he lived for fifteen years.<br /><br />Big Sur is the portrait of a place one of the most colorful in the U.S. and of the extraordinary people Miller knew there: writers (and writers who didn't write), mystics seeking truth in meditation (and the not-so-saintly looking for sex-cults or celebrity), sophisticated children and adult innocents; geniuses, cranks and the unclassifiable.<br /><br />Henry Miller writes with a buoyancy and brimming energy that are infectious. He has a fine touch for comedy. But this is also a serious book the testament of a free spirit who has broken through the restraints and cliches of modern life to find within himself his own kind of paradise.<br /><br />",400,"('1', '17', '1957')"
249,Tropic of Cancer,Henry Miller,3.68,"Now hailed as an American classic <i>Tropic of Cancer</i>, Henry Miller’s masterpiece, was banned as obscene in this country for twenty-seven years after its first publication in Paris in 1934. Only a historic court ruling that changed American censorship standards, ushering in a new era of freedom and frankness in modern literature, permitted the publication of this first volume of Miller’s famed mixture of memoir and fiction, which chronicles with unapologetic gusto the bawdy adventures of a young expatriate writer, his friends, and the characters they meet in Paris in the 1930s. <i>Tropic of Cancer</i> is now considered, as Norman Mailer said, ""one of the ten or twenty great novels of our century.""",318,"('1', '6', '1994')"
236,The Complete Nonsense of Edward Lear,Edward Lear,4.02,"The Owl and the Pussy-Cat, Calico Pie and The Pobble Who Has No Toes, together with Edward Lear's crazy limericks, have entertained adults and children alike for over 100 years.<br /><br />This edition, illustrated by the author, contains all the verse and stories of the Book of Nonsense, More Nonsense, Nonsense Songs, Nonsense Stories, Nonsense Alphabets and Nonsense Cookery. It has a biographical Preface by Lear himself, and concludes with some delightful 'heraldic' sketches of his cat, Foss.",287,"('6', '1', '1940')"
237,Poetry for Young People: Edward Lear,Edward Lear,3.96,"Utterly delightful to read aloud, and for parent and child to share, Edward Lear's humorous verses shine with irrepressible joy and rhythm. Filled with exuberantly nonsensical made-up words (like ""Scroobius Pip"" and ""pobble""!) that tickle the funny bone, his work gives free rein to youthful imaginations. What better to foster a love of poetry than the immediately appealing The Owl and the Pussy-Cat, with its effortless rhymes, songlike beat, and charming animal characters? Or The Quangle Wangle's Hat, which tells the tale of a creature who warmly welcomes everyone--and so makes everyone cheerful. In Dingle Bank, even some young and mischievous boys punished by their schoolmaster make the best of their situation and succeed in having a good time. Bright and fanciful paintings--all as wildly energetic and unrestrained as the language itself--add to the enjoyment. 20 examples of Lear's finest poems will entice children over and over again--and, as always, this acclaimed series features fascinating biographical information, introductions to each verse, and full annotations that define difficult vocabulary.<br />",48,"('10', '1', '2001')"
239,An Edward Lear Alphabet,Edward Lear,3.38,"Edward Lear's acrobatic rhymes insistently tumble from the tongue and celebrate the glorious fun of wordplay. Only Vladimir Radunsky's electric artwork could possibly capture this much energy. Within the quiet covers of this book, the artist springs loose the grandest kings, the highest of kites, a goose-stepping gander, and, even, Lear himself. The pages almost turn themselves.",32,"('4', '1', '1999')"
241,A Was Once an Apple Pie,Edward Lear,3.42,Hand painted cut paper artwork by Caldecott winner Suse MacDonald illustrates this adaptation of Edward Lear's classic ABC rhyme.,32,"('9', '1', '2005')"
242,The Owl and the Pussycat,Edward Lear,4.19,"Edward Lear's nonsense poem about two unlikely sweethearts--an elegant owl and a beautiful cat--has found a perfect match in artist Jan Brett. She traveled to the Caribbean (the land where the Bong-tree grows, perhaps?) to research her illustrations as well as the settings, costume details, plants, and fish native to the area. Readers can follow an illustrated subplot of two yellow fish who also fall in love under the pea-green boat. A charming treatment of a classic children's poem. <i>(Ages 3 to 7)</i>",32,"('5', '7', '1996')"
243,The Pobble Who Has No Toes (Edward Lear's Little Books of Nonsense),Edward Lear,4.57,,24,"('3', '27', '1986')"
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,"Ever eaten Poodle Strudel? Slain a Jabberwock? Bathed in Irish Stew? Quentin Blake is one of the best loved of children’s illustrators. In this brilliant book he has selected and illustrated his favourite comic verse, making it pure entertainment for nonsense-lovers of all ages. His unique style of drawing brings a new perspective to every poem. Classic writers such as Lewis Carroll and Edward Lear are combined with more contemporary talents such as Roger McGough, Margaret Mahy and Russell Hoban. With fifteen wonderfully absurd sections, including Distracting Creatures, Sticky Ends, I Wish I Were a Jelly Fish, A Recipe for Indigestion and Chortling and Galumphing, here is a delightful collection of the topsy-turvy, the fantastical, the anarchic, the illogical and the utterly wonderful.",287,"('10', '3', '1996')"
245,Henry Miller on Writing,Henry Miller,4.23,"Some of the most rewarding pages in Henry Miller's books concern his self-education as a writer. He tells, as few great writers ever have, how he set his goals, how he discovered the excitement of using words, how the books he read influenced him, and how he learned to draw on his own experience.",217,"('2', '1', '1964')"
246,The Colossus of Maroussi,Henry Miller,3.99,"The Colossus of Maroussi is an impressionist travelogue by Henry Miller, written in 1939 and first published in 1941 by Colt Press of San Francisco. As an impoverished writer in need of rejuvenation, Miller travelled to Greece at the invitation of his friend, the writer Lawrence Durrell. The text is inspired by the events that occurred. The text is ostensibly a portrait of the Greek writer George Katsimbalis, although some critics have opined that is more of a self-portrait of Miller himself.[1] Miller considered it to be his greatest work.",244,"('1', '17', '1975')"
247,Quiet Days in Clichy,Henry Miller,3.68,"This tender and nostalgic work dates from the same period as Tropic of Cancer (1934). It is a celebration of love, art, and the Bohemian life at a time when the world was simpler and slower, and Miller an obscure, penniless young writer in Paris. Whether discussing the early days of his long friendship with Alfred Perles or his escapades at the Club Melody brothel, in Quiet Days in Clichy Miller describes a period that would shape his entire life and oeuvre.",154,"('1', '13', '1994')"
248,Big Sur and the Oranges of Hieronymus Bosch,Henry Miller,4.02,"Whence Henry Miller's title for this, one of his most appealing books; first published in 1957, it tells the story of Miller's life on the Big Sur, a section of California coast where he lived for fifteen years.<br /><br />Big Sur is the portrait of a place one of the most colorful in the U.S. and of the extraordinary people Miller knew there: writers (and writers who didn't write), mystics seeking truth in meditation (and the not-so-saintly looking for sex-cults or celebrity), sophisticated children and adult innocents; geniuses, cranks and the unclassifiable.<br /><br />Henry Miller writes with a buoyancy and brimming energy that are infectious. He has a fine touch for comedy. But this is also a serious book the testament of a free spirit who has broken through the restraints and cliches of modern life to find within himself his own kind of paradise.<br /><br />",400,"('1', '17', '1957')"
249,Tropic of Cancer,Henry Miller,3.68,"Now hailed as an American classic <i>Tropic of Cancer</i>, Henry Miller’s masterpiece, was banned as obscene in this country for twenty-seven years after its first publication in Paris in 1934. Only a historic court ruling that changed American censorship standards, ushering in a new era of freedom and frankness in modern literature, permitted the publication of this first volume of Miller’s famed mixture of memoir and fiction, which chronicles with unapologetic gusto the bawdy adventures of a young expatriate writer, his friends, and the characters they meet in Paris in the 1930s. <i>Tropic of Cancer</i> is now considered, as Norman Mailer said, ""one of the ten or twenty great novels of our century.""",318,"('1', '6', '1994')"
250,Tropic of Capricorn,Henry Miller,3.78,"Banned in America for almost thirty years because of its explicit sexual content, this companion volume to Miller's <i>Tropic of Cancer</i> chronicles his life in 1920s New York City. Famous for its frank portrayal of life in Brooklyn's ethnic neighborhoods, and Miller's outrageous sexual exploits, <i>Tropic of Capricorn</i> is now considered a cornerstone of modern literature. <br />",348,"('1', '13', '1994')"
251,"Nexus (The Rosy Crucifixion, #3)",Henry Miller,4.10,,316,"('1', '13', '1994')"
252,"Sexus (The Rosy Crucifixion, #1)",Henry Miller,3.97,,506,"('1', '12', '1994')"
253,The Air-Conditioned Nightmare,Henry Miller,3.83,"In 1939, after ten years as an expatriate, Henry Miller returned to the United States with a keen desire to see what his native land was really like—to get to the roots of the American nature and experience. He set out on a journey that was to last three years, visiting many sections of the country and making friends of all descriptions. <em>The Air-Conditioned Nightmare</em> is the result of that odyssey.",292,"('1', '17', '1970')"
254,The Time of the Assassins:  a Study of Rimbaud,Henry Miller,3.94,"The social function of the creative personality is a recurrent theme with Henry Miller, and this book is perhaps his most poignant and concentrated analysis of the artist's dilemma.",160,"('1', '17', '1962')"
255,Public Places-Urban Spaces: The Dimensions of Urban Design,Matthew Carmona,4.12,"Public Places - Urban Spaces is a holistic guide to the many complex and interacting dimensions of urban design. The discussion moves systematically through ideas, theories, research and practice of urban design from a wide range of sources. It gradually builds the concepts one upon the other towards a total view of the subject.",320,"('3', '14', '2003')"
256,Behavior in Public Places,Erving Goffman,4.08,,248,"('9', '1', '1966')"
257,Haunted Places in America: A Guide to Spooked and Spooky Public Places in the United States,Charles A. Coulombe,3.42,We're all familiar with the American spirit. But what about America's spirits? Here is an entertaining and informative guide to haunted places throughout the fifty states.<br />,288,"('10', '1', '2004')"
258,"Public Places: My Life in the Theater, with Peter O'Toole and Beyond",Sian Phillips,3.86,"Sian Phillips and Peter O'Toole were one of the theaters most fabulous couples--a marriage perhaps rivaled only by that of Richard Burton and Elizabeth Taylor in terms of glamour, power, and public fascination. In her exceptional memoir, Phillips reveals in thoughtful detail their tumultuous life together. She describes the mad and impulsive times with the infamous hellraiser alongside the tempestuous, insecure, and often lonely periods in their marriage. When OToole's career took off with ""Lawrence of Arabia,"" Sian found life increasingly difficult in her parallel roles as wife, mother, and actress, and watched as her own career became progressively sidelined. Against all expectations, though, their union endured for twenty years. When it ended, incredibly, even to herself, Sian plunged straight into another marriage, to a much younger man. Ultimately she emerges alone--triumphant and unrepentant--and the story she recounts here ranks alongside the very best in show business.<br />",441,"('5', '3', '2004')"
259,Together Alone: Personal Relationships in Public Places,Calvin Morrill,3.67,"Exploring locales such as city streets, bus stops, parking lots, bars, retail establishments, and discussion groups, <i>Together Alone </i>ventures into what is often thought of as the realm of passing strangers to examine the nature of personal relationships conducted in public spaces. While most studies of social interaction have gone behind closed doors to focus on relationships in the family, school, and workplace, this innovative collection pushes the boundaries of the field by analyzing both fleeting and anchored relationships in the seldom-studied communal areas where much of contemporary life takes place. The contributors shed light on the diversity and character of day-to-day negotiations in public spaces and at the same time illuminate how these social ties paradoxically blend aspects of durability and brevity, of emotional closeness and distance, of being together and alone.",320,"('8', '8', '2005')"
260,Squares: A Public Place Design Guide for Urbanists,Mark C. Childs,3.88,"Vital public places--squares, post office steps, playgrounds, street corners--are centers of joyful celebration, heartbroken communion, civic discussion, or for simply hanging out. Squares is intended to help designers, planners, public officials, students, developers, and community leaders understand the history and theories of public commons, elicit community dialogue and desires, respond to the natural and built environment, and design compelling places.<br /><br />Mark C. Childs contends that places built to support conviviality are critical components of a good town. He includes theory, brief case studies, and 126 design queries and discussions. These questions range from the general--""How can the life of the community be strengthened by the planning of a civic place?""--to the particular--""Is the place delightful on a Tuesday morning?"" ""What makes a good place for a rendezvous?"" Childs explores the design implications of the automobile, electronic media, the natural environment, urban furniture and structures, public safety, and public art. Interspersed with Childs's text are brief essays by other authors addressing particular kinds of public spaces: parks, urban beaches, farmers' markets, and community gardens.",208,"('9', '1', '2006')"
